timestamp,ipSrc,ipDst,tcpPortSrc,tcpPortDst,udpPortSrc,udpPortDst,tcpLen,udpLen,payloadProtocolNumber
1584567454.1779902,10.10.0.10,173.194.188.6,,,42148,443,0,50,17
1584567454.198391,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.223327,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.225096,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.245594,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.2678616,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.271238,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.290142,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.312408,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.313969,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.33468,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.3569539,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.364609,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.379223,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.401509,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.40334,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.423769,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.4460402,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.449092,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.4683068,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.490584,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.492213,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.512855,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.535134,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.5369642,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.557401,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.5823429,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.584232,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.60463,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.626888,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.628736,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.6491606,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.6714275,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.673102,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.693704,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.715976,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.717838,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.738257,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.7605212,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.7686794,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.7828028,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.80506,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.8066704,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.8273351,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.8496122,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.851552,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.871878,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.8941526,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.8967938,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.9190881,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.941365,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.942919,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.963639,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.9859092,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.9876962,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567455.008179,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.03045,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.0321991,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567455.052744,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.075001,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.076576,10.10.0.10,173.194.188.6,,,42148,443,0,50,17
1584567455.0972722,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.119555,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.121216,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567455.1418214,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.1640828,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.166342,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567455.186368,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.208636,173.194.188.6,10.10.0.10,,,443,42148,0,29,17
1584567455.20964,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.2130961,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567455.231931,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.254184,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.261321,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567455.276457,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.298727,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.300317,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567455.321003,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.343946,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.346713,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567455.3662362,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.388489,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.390191,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567455.410759,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.433049,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.434836,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567455.4553044,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567455.477578,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
